SeqName	Length	Cys	NT	NR	RefSeq	SwissProt	KOALAKEGG	Hits	PFAM	SignalP?	Allergenic?	Conserved?	GO ?	EC	Up in males/larvae?	Class
SSAE_00001	440	3	NA	NA	NA	NA	none	unknown	no	Secreted	no	unique	none	none	no	unknown Secreted unique  
SSAE_00002	511	2	Solenopsis invicta uncharacterized LOC105206585 (LOC105206585) mRNA	PREDICTED: uncharacterized protein LOC105206585, partial	gi|751240651|ref|XP_011174374.1|PREDICTED: uncharacterized protein LOC105206585, partial [Solenopsis invicta]	NA	none	blasted	DUF1759	No	no	conserved	F:nucleic acid binding; F:zinc ion binding	none	no	conserved DUF1759
SSAE_00003	1087	2	Pogonomyrmex barbatus glucose transporter type 1 (LOC105425888) transcript variant mRNA	glucose transporter type 1 isoform X7	gi|913306276|ref|XP_013183562.1|PREDICTED: glucose transporter type 1-like [Amyelois transitella]	GTR1_DROME Glucose transporter type 1 OS=Drosophila melanogaster GN=Glut1 PE=2 SV=4	none	blasted	no	No	Allergenic	conserved	carbohydrate transport,integral component of membrane,transmembrane transporter activity,transmembrane transport	none	no	Allergenic conserved transcript 
SSAE_00004	686	2	Solenopsis invicta RNA-directed DNA polymerase from mobile element jockey-like (LOC105204251) mRNA	RNA-directed DNA polymerase from mobile element jockey-like	gi|751235641|ref|XP_011171611.1|PREDICTED: RNA-directed DNA polymerase from mobile element jockey-like [Solenopsis invicta]	NA	none	blasted	no	No	no	-	P:RNA phosphodiester bond hydrolysis, endonucleolytic; F:nucleic acid binding; F:RNA-DNA hybrid ribonuclease activity; F:RNA-directed DNA polymerase activity; P:RNA-dependent DNA biosynthetic process	none	no	similar to 
SSAE_00005	867	2	Solenopsis invicta uncharacterized LOC105205677 (LOC105205677) mRNA	rna-directed dna polymerase from mobile element jockey	gi|1009397557|gb|KYN18065.1|hypothetical protein ALC57_09636, partial [Trachymyrmex cornetzi]	NA	none	blasted	no	No	Allergenic	-	F:RNA-directed DNA polymerase activity; P:RNA-dependent DNA biosynthetic process	none	no	Allergenic 
SSAE_00006	632	4	Zebrafish DNA sequence from clone DKEY-103J14 in linkage group complete sequence	NA	NA	NA	none	blasted	no	No	Allergenic	conserved	none	none	Unrelated	unrelated Allergenic conserved transcript 
SSAE_00007	975	5	NA	hypothetical protein SINV_09789, partial	gi|322796464|gb|EFZ18983.1|hypothetical protein SINV_09789, partial [Solenopsis invicta]	NA	none	blasted	no	Secreted	Allergenic	-	none	none	no	Secreted Allergenic  
SSAE_00008	1379	2	Cyphomyrmex costatus uncharacterized LOC108779236 (LOC108779236) mRNA	PREDICTED: uncharacterized protein LOC108774392	gi|1070597514|ref|XP_018395989.1|PREDICTED: uncharacterized protein LOC108774392 [Cyphomyrmex costatus]	NA	none	blasted	no	No	Allergenic	-	none	none	no	Allergenic  
SSAE_00009	694	36	Camponotus floridanus serine ase stubble (LOC105251115) transcript variant mRNA	NA	NA	NA	none	blasted	no	No	no	conserved	none	none	no	conserved transcript 
SSAE_00010	538	2	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_00011	816	1	Trachymyrmex septentrionalis lisH domain-containing ARMC9-like (LOC108752646) transcript variant mRNA	lisH domain-containing ARMC9-like isoform X1	gi|751219463|ref|XP_011162817.1|PREDICTED: lisH domain-containing protein ARMC9-like [Solenopsis invicta]	ARMC9_XENLA domain-containing ARMC9 OS=Xenopus laevis GN=armc9 PE=2 SV=1	ARMC9; LisH domain-containing protein ARMC9	blasted	no	No	Allergenic	conserved	P:mRNA processing; C:THO complex part of transcription export complex	none	no	Allergenic conserved transcript 
SSAE_00012	375	0	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript
SSAE_00013	1078	4	NA	NA	NA	NA	none	unknown	no	Secreted	no	-	none	none	Unrelated	unrelated unknown Secreted  
SSAE_00014	498	2	NA	NA	NA	NA	none	unknown	no	Secreted	Allergenic	conserved	none	none	no	unknown Secreted Allergenic conserved transcript 
SSAE_00015	1189	4	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_00016	948	2	Vollenhovia emeryi ankyrin repeat domain-containing 50 (LOC105561176) transcript variant mRNA	ankyrin repeat domain-containing 50 isoform X3	gi|751218126|ref|XP_011162085.1|PREDICTED: ankyrin repeat domain-containing protein 50 isoform X3 [Solenopsis invicta]	NA	none	blasted	no	No	Allergenic	conserved	none	none	no	Allergenic conserved transcript 
SSAE_00017	698	2	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_00018	874	1	NA	NA	NA	NA	none	unknown	no	Secreted	Allergenic	-	none	none	no	unknown Secreted Allergenic  
SSAE_00019	413	3	Cerapachys biroi odorant receptor 83c (LOC105276661) transcript variant mRNA	hypothetical protein X777_16205, partial	gi|607352629|gb|EZA47546.1|hypothetical protein X777_16205, partial [Cerapachys biroi]	NA	none	blasted	no	No	Allergenic	conserved	none	none	no	Allergenic conserved transcript 
SSAE_00020	1394	1	Solenopsis invicta uncharacterized LOC105204287 (LOC105204287) mRNA	RNA-directed DNA polymerase from mobile element jockey-like	gi|751235706|ref|XP_011171645.1|PREDICTED: uncharacterized protein LOC105204287 [Solenopsis invicta]	RTBS_DROME Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster GN=RTase PE=2 SV=1	none	blasted	no	No	Allergenic	-	F:RNA-directed DNA polymerase activity; P:RNA-dependent DNA biosynthetic process	none	no	Allergenic  
SSAE_00021	795	2	Solenopsis invicta upstream activation factor subunit spp27 (LOC105206620) mRNA	NA	NA	NA	none	blasted	no	Secreted	no	-	none	none	no	Secreted  
SSAE_00022	305	2	NA	NA	NA	NA	none	unknown	no	No	Allergenic	conserved	none	none	no	unknown Allergenic conserved transcript 
SSAE_00023	694	4	Solenopsis invicta uncharacterized LOC105207269 (LOC105207269) mRNA	zinc finger MYM-type 1-like	gi|751241767|ref|XP_011174999.1|PREDICTED: uncharacterized protein LOC105207269 [Solenopsis invicta]	NA	none	blasted	no	Secreted	no	-	F:nucleic acid binding; F:protein dimerization activity	none	no	Secreted  
SSAE_00024	872	1	Monomorium pharaonis uncharacterized LOC105838455 (LOC105838455) transcript variant mRNA	E3 ubiquitin- ligase sinah	gi|751226240|ref|XP_011166537.1|PREDICTED: uncharacterized protein LOC105200601 [Solenopsis invicta]	NA	none	blasted	no	Secreted	Allergenic	conserved	C:nucleus; F:zinc ion binding; P:multicellular organism development; F:ligase activity; P:ubiquitin-dependent protein catabolic process	none	no	Secreted Allergenic conserved transcript 
SSAE_00025	916	1	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_00026	970	2	Wasmannia auropunctata uncharacterized LOC105451213 (LOC105451213) transcript variant mRNA	bark beetle	gi|751238791|ref|XP_011173362.1|PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC105205640 [Solenopsis invicta]	BARK_DROME bark beetle OS=Drosophila melanogaster GN=bark PE=1 SV=1	none	blasted	no	No	no	conserved	C:integral component of membrane; F:scavenger receptor activity; P:receptor-mediated endocytosis	none	no	conserved transcript 
SSAE_00027	573	2	Wasmannia auropunctata uncharacterized LOC105460702 (LOC105460702) transcript variant mRNA	PREDICTED: uncharacterized protein LOC105460702 isoform X3	gi|780715122|ref|XP_011705506.1|PREDICTED: uncharacterized protein LOC105460702 isoform X3 [Wasmannia auropunctata]	NA	none	blasted	no	No	no	conserved	none	none	no	conserved transcript 
SSAE_00028	263	8	NA	NA	NA	NA	none	unknown	no	Secreted	no	conserved	none	none	no	unknown Secreted conserved transcript 
